UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ActiveCasesChange
1,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,-1
2,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
3,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
4,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
5,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
6,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
7,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
8,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
9,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
10,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
11,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
12,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
13,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
14,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
15,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
16,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
17,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
18,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
19,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
20,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
21,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
22,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
23,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
24,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
25,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
26,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
27,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
28,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
29,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
30,1,Israel,IL,,,31.05,34.85,0,0,0,0,00:00.0,NULL,0
31,1,Israel,IL,,,31.05,34.85,1,1,0,0,00:00.0,NULL,1
32,1,Israel,IL,,,31.05,34.85,1,1,0,0,00:00.0,NULL,0
33,1,Israel,IL,,,31.05,34.85,1,1,0,0,00:00.0,NULL,0
34,1,Israel,IL,,,31.05,34.85,1,1,0,0,00:00.0,NULL,0
35,1,Israel,IL,,,31.05,34.85,1,1,0,0,00:00.0,NULL,0
36,1,Israel,IL,,,31.05,34.85,2,2,0,0,00:00.0,NULL,1
