UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId
1,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-22 00:00:00.000000",NULL
2,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-23 00:00:00.000000",NULL
3,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-24 00:00:00.000000",NULL
4,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-25 00:00:00.000000",NULL
5,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-26 00:00:00.000000",NULL
6,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-27 00:00:00.000000",NULL
7,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-28 00:00:00.000000",NULL
8,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-29 00:00:00.000000",NULL
9,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-30 00:00:00.000000",NULL
10,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-01-31 00:00:00.000000",NULL
11,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-01 00:00:00.000000",NULL
12,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-02 00:00:00.000000",NULL
13,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-03 00:00:00.000000",NULL
14,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-04 00:00:00.000000",NULL
15,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-05 00:00:00.000000",NULL
16,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-06 00:00:00.000000",NULL
17,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-07 00:00:00.000000",NULL
18,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-08 00:00:00.000000",NULL
19,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-09 00:00:00.000000",NULL
20,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-10 00:00:00.000000",NULL
21,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-11 00:00:00.000000",NULL
22,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-12 00:00:00.000000",NULL
23,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-13 00:00:00.000000",NULL
24,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-14 00:00:00.000000",NULL
25,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-15 00:00:00.000000",NULL
26,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-16 00:00:00.000000",NULL
27,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-17 00:00:00.000000",NULL
28,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-18 00:00:00.000000",NULL
29,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-19 00:00:00.000000",NULL
30,1,Israel,IL,,,31.05,34.85,0,0,0,0,"2020-02-20 00:00:00.000000",NULL
31,1,Israel,IL,,,31.05,34.85,1,1,0,0,"2020-02-21 00:00:00.000000",NULL
32,1,Israel,IL,,,31.05,34.85,1,1,0,0,"2020-02-22 00:00:00.000000",NULL
33,1,Israel,IL,,,31.05,34.85,1,1,0,0,"2020-02-23 00:00:00.000000",NULL
34,1,Israel,IL,,,31.05,34.85,1,1,0,0,"2020-02-24 00:00:00.000000",NULL
35,1,Israel,IL,,,31.05,34.85,1,1,0,0,"2020-02-25 00:00:00.000000",NULL
36,1,Israel,IL,,,31.05,34.85,2,2,0,0,"2020-02-26 00:00:00.000000",NULL
37,1,Israel,IL,,,31.05,34.85,3,2,0,1,"2020-02-27 00:00:00.000000",NULL
38,1,Israel,IL,,,31.05,34.85,4,3,0,1,"2020-02-28 00:00:00.000000",NULL
39,1,Israel,IL,,,31.05,34.85,7,6,0,1,"2020-02-29 00:00:00.000000",NULL
40,1,Israel,IL,,,31.05,34.85,10,9,0,1,"2020-03-01 00:00:00.000000",NULL
41,1,Israel,IL,,,31.05,34.85,10,9,0,1,"2020-03-02 00:00:00.000000",NULL
42,1,Israel,IL,,,31.05,34.85,12,11,0,1,"2020-03-03 00:00:00.000000",NULL
43,1,Israel,IL,,,31.05,34.85,15,14,0,1,"2020-03-04 00:00:00.000000",NULL
44,1,Israel,IL,,,31.05,34.85,20,19,0,1,"2020-03-05 00:00:00.000000",NULL
45,1,Israel,IL,,,31.05,34.85,37,35,0,2,"2020-03-06 00:00:00.000000",NULL
46,1,Israel,IL,,,31.05,34.85,43,41,0,2,"2020-03-07 00:00:00.000000",NULL
47,1,Israel,IL,,,31.05,34.85,61,59,0,2,"2020-03-08 00:00:00.000000",NULL
48,1,Israel,IL,,,31.05,34.85,61,59,0,2,"2020-03-09 00:00:00.000000",NULL
49,1,Israel,IL,,,31.05,34.85,75,71,0,4,"2020-03-10 00:00:00.000000",NULL
