UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ChangeInActiveCases
3081,28,Australia,AU,,,-33.87,151.21,0,0,0,0,22/01/2020,NULL,0
3082,28,Australia,AU,,,-33.87,151.21,0,0,0,0,23/01/2020,NULL,0
3083,28,Australia,AU,,,-33.87,151.21,0,0,0,0,24/01/2020,NULL,0
3084,28,Australia,AU,,,-33.87,151.21,0,0,0,0,25/01/2020,NULL,0
3085,28,Australia,AU,,,-33.87,151.21,4,4,0,0,26/01/2020,NULL,4
3086,28,Australia,AU,,,-33.87,151.21,5,5,0,0,27/01/2020,NULL,1
3087,28,Australia,AU,,,-33.87,151.21,5,5,0,0,28/01/2020,NULL,0
3088,28,Australia,AU,,,-33.87,151.21,6,6,0,0,29/01/2020,NULL,1
3089,28,Australia,AU,,,-33.87,151.21,9,7,0,2,30/01/2020,NULL,1
3090,28,Australia,AU,,,-33.87,151.21,9,7,0,2,31/01/2020,NULL,0
3091,28,Australia,AU,,,-33.87,151.21,12,10,0,2,01/02/2020,NULL,3
3092,28,Australia,AU,,,-33.87,151.21,12,10,0,2,02/02/2020,NULL,0
3093,28,Australia,AU,,,-33.87,151.21,12,10,0,2,03/02/2020,NULL,0
3094,28,Australia,AU,,,-33.87,151.21,13,11,0,2,04/02/2020,NULL,1
3095,28,Australia,AU,,,-33.87,151.21,13,11,0,2,05/02/2020,NULL,0
3096,28,Australia,AU,,,-33.87,151.21,14,12,0,2,06/02/2020,NULL,1
3097,28,Australia,AU,,,-33.87,151.21,15,13,0,2,07/02/2020,NULL,1
3098,28,Australia,AU,,,-33.87,151.21,15,13,0,2,08/02/2020,NULL,0
3099,28,Australia,AU,,,-33.87,151.21,15,13,0,2,09/02/2020,NULL,0
3100,28,Australia,AU,,,-33.87,151.21,15,13,0,2,10/02/2020,NULL,0
3101,28,Australia,AU,,,-33.87,151.21,15,13,0,2,11/02/2020,NULL,0
3102,28,Australia,AU,,,-33.87,151.21,15,13,0,2,12/02/2020,NULL,0
3103,28,Australia,AU,,,-33.87,151.21,15,7,0,8,13/02/2020,NULL,-6
3104,28,Australia,AU,,,-33.87,151.21,15,7,0,8,14/02/2020,NULL,0
3105,28,Australia,AU,,,-33.87,151.21,15,7,0,8,15/02/2020,NULL,0
3106,28,Australia,AU,,,-33.87,151.21,15,7,0,8,16/02/2020,NULL,0
3107,28,Australia,AU,,,-33.87,151.21,15,5,0,10,17/02/2020,NULL,-2
3108,28,Australia,AU,,,-33.87,151.21,15,5,0,10,18/02/2020,NULL,0
3109,28,Australia,AU,,,-33.87,151.21,15,5,0,10,19/02/2020,NULL,0
3110,28,Australia,AU,,,-33.87,151.21,15,5,0,10,20/02/2020,NULL,0
3111,28,Australia,AU,,,-33.87,151.21,15,4,0,11,21/02/2020,NULL,-1
