UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ChangeInActiveCases
28491,248,Italy,IT,,,41.87,12.57,0,0,0,0,22/01/2020,NULL,0
28492,248,Italy,IT,,,41.87,12.57,0,0,0,0,23/01/2020,NULL,0
28493,248,Italy,IT,,,41.87,12.57,0,0,0,0,24/01/2020,NULL,0
28494,248,Italy,IT,,,41.87,12.57,0,0,0,0,25/01/2020,NULL,0
28495,248,Italy,IT,,,41.87,12.57,0,0,0,0,26/01/2020,NULL,0
28496,248,Italy,IT,,,41.87,12.57,0,0,0,0,27/01/2020,NULL,0
28497,248,Italy,IT,,,41.87,12.57,0,0,0,0,28/01/2020,NULL,0
28498,248,Italy,IT,,,41.87,12.57,0,0,0,0,29/01/2020,NULL,0
28499,248,Italy,IT,,,41.87,12.57,0,0,0,0,30/01/2020,NULL,0
28500,248,Italy,IT,,,41.87,12.57,2,2,0,0,31/01/2020,NULL,2
28501,248,Italy,IT,,,41.87,12.57,2,2,0,0,01/02/2020,NULL,0
28502,248,Italy,IT,,,41.87,12.57,2,2,0,0,02/02/2020,NULL,0
28503,248,Italy,IT,,,41.87,12.57,2,2,0,0,03/02/2020,NULL,0
28504,248,Italy,IT,,,41.87,12.57,2,2,0,0,04/02/2020,NULL,0
28505,248,Italy,IT,,,41.87,12.57,2,2,0,0,05/02/2020,NULL,0
28506,248,Italy,IT,,,41.87,12.57,2,2,0,0,06/02/2020,NULL,0
28507,248,Italy,IT,,,41.87,12.57,3,3,0,0,07/02/2020,NULL,1
28508,248,Italy,IT,,,41.87,12.57,3,3,0,0,08/02/2020,NULL,0
28509,248,Italy,IT,,,41.87,12.57,3,3,0,0,09/02/2020,NULL,0
28510,248,Italy,IT,,,41.87,12.57,3,3,0,0,10/02/2020,NULL,0
28511,248,Italy,IT,,,41.87,12.57,3,3,0,0,11/02/2020,NULL,0
28512,248,Italy,IT,,,41.87,12.57,3,3,0,0,12/02/2020,NULL,0
28513,248,Italy,IT,,,41.87,12.57,3,3,0,0,13/02/2020,NULL,0
