UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ChangeInActiveCases
17249,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,22/01/2020,NULL,0
17250,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,23/01/2020,NULL,0
17251,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,24/01/2020,NULL,0
17252,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,25/01/2020,NULL,0
17253,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,26/01/2020,NULL,0
17254,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,27/01/2020,NULL,0
17255,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,28/01/2020,NULL,0
17256,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,29/01/2020,NULL,0
17257,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,30/01/2020,NULL,0
17258,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,31/01/2020,NULL,0
17259,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,01/02/2020,NULL,0
17260,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,02/02/2020,NULL,0
17261,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,03/02/2020,NULL,0
17262,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,04/02/2020,NULL,0
17263,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,05/02/2020,NULL,0
17264,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,06/02/2020,NULL,0
17265,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,07/02/2020,NULL,0
17266,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,08/02/2020,NULL,0
17267,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,09/02/2020,NULL,0
17268,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,10/02/2020,NULL,0
17269,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,11/02/2020,NULL,0
17270,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,12/02/2020,NULL,0
17271,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,13/02/2020,NULL,0
17272,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,14/02/2020,NULL,0
17273,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,15/02/2020,NULL,0
17274,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,16/02/2020,NULL,0
17275,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,17/02/2020,NULL,0
17276,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,18/02/2020,NULL,0
17277,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,19/02/2020,NULL,0
17278,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,20/02/2020,NULL,0
17279,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,21/02/2020,NULL,0
17280,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,22/02/2020,NULL,0
17281,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,23/02/2020,NULL,0
17282,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,24/02/2020,NULL,0
17283,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,25/02/2020,NULL,0
17284,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,26/02/2020,NULL,0
17285,149,New Zealand,NZ,,,-40.9,174.89,0,0,0,0,27/02/2020,NULL,0
17286,149,New Zealand,NZ,,,-40.9,174.89,1,1,0,0,28/02/2020,NULL,1
17287,149,New Zealand,NZ,,,-40.9,174.89,1,1,0,0,29/02/2020,NULL,0
17288,149,New Zealand,NZ,,,-40.9,174.89,1,1,0,0,01/03/2020,NULL,0
17289,149,New Zealand,NZ,,,-40.9,174.89,1,1,0,0,02/03/2020,NULL,0
17290,149,New Zealand,NZ,,,-40.9,174.89,1,1,0,0,03/03/2020,NULL,0
17291,149,New Zealand,NZ,,,-40.9,174.89,3,3,0,0,04/03/2020,NULL,2
17292,149,New Zealand,NZ,,,-40.9,174.89,3,3,0,0,05/03/2020,NULL,0
17293,149,New Zealand,NZ,,,-40.9,174.89,4,4,0,0,06/03/2020,NULL,1
17294,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,07/03/2020,NULL,1
17295,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,08/03/2020,NULL,0
17296,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,09/03/2020,NULL,0
17297,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,10/03/2020,NULL,0
17298,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,11/03/2020,NULL,0
17299,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,12/03/2020,NULL,0
17300,149,New Zealand,NZ,,,-40.9,174.89,5,5,0,0,13/03/2020,NULL,0
17301,149,New Zealand,NZ,,,-40.9,174.89,6,6,0,0,14/03/2020,NULL,1
17302,149,New Zealand,NZ,,,-40.9,174.89,8,8,0,0,15/03/2020,NULL,2
17303,149,New Zealand,NZ,,,-40.9,174.89,8,8,0,0,16/03/2020,NULL,0
17304,149,New Zealand,NZ,,,-40.9,174.89,12,12,0,0,17/03/2020,NULL,4
