UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ChangeInActiveCases
26181,228,Spain,ES,,,40.46,-3.75,0,0,0,0,22/01/2020,NULL,0
26182,228,Spain,ES,,,40.46,-3.75,0,0,0,0,23/01/2020,NULL,0
26183,228,Spain,ES,,,40.46,-3.75,0,0,0,0,24/01/2020,NULL,0
26184,228,Spain,ES,,,40.46,-3.75,0,0,0,0,25/01/2020,NULL,0
26185,228,Spain,ES,,,40.46,-3.75,0,0,0,0,26/01/2020,NULL,0
26186,228,Spain,ES,,,40.46,-3.75,0,0,0,0,27/01/2020,NULL,0
26187,228,Spain,ES,,,40.46,-3.75,0,0,0,0,28/01/2020,NULL,0
26188,228,Spain,ES,,,40.46,-3.75,0,0,0,0,29/01/2020,NULL,0
26189,228,Spain,ES,,,40.46,-3.75,0,0,0,0,30/01/2020,NULL,0
26190,228,Spain,ES,,,40.46,-3.75,0,0,0,0,31/01/2020,NULL,0
26191,228,Spain,ES,,,40.46,-3.75,1,1,0,0,01/02/2020,NULL,1
26192,228,Spain,ES,,,40.46,-3.75,1,1,0,0,02/02/2020,NULL,0
26193,228,Spain,ES,,,40.46,-3.75,1,1,0,0,03/02/2020,NULL,0
26194,228,Spain,ES,,,40.46,-3.75,1,1,0,0,04/02/2020,NULL,0
26195,228,Spain,ES,,,40.46,-3.75,1,1,0,0,05/02/2020,NULL,0
26196,228,Spain,ES,,,40.46,-3.75,1,1,0,0,06/02/2020,NULL,0
26197,228,Spain,ES,,,40.46,-3.75,1,1,0,0,07/02/2020,NULL,0
26198,228,Spain,ES,,,40.46,-3.75,1,1,0,0,08/02/2020,NULL,0
26199,228,Spain,ES,,,40.46,-3.75,2,2,0,0,09/02/2020,NULL,1
26200,228,Spain,ES,,,40.46,-3.75,2,2,0,0,10/02/2020,NULL,0
26201,228,Spain,ES,,,40.46,-3.75,2,2,0,0,11/02/2020,NULL,0
26202,228,Spain,ES,,,40.46,-3.75,2,2,0,0,12/02/2020,NULL,0
26203,228,Spain,ES,,,40.46,-3.75,2,2,0,0,13/02/2020,NULL,0
26204,228,Spain,ES,,,40.46,-3.75,2,2,0,0,14/02/2020,NULL,0
26205,228,Spain,ES,,,40.46,-3.75,2,0,0,2,15/02/2020,NULL,-2
26206,228,Spain,ES,,,40.46,-3.75,2,0,0,2,16/02/2020,NULL,0
26207,228,Spain,ES,,,40.46,-3.75,2,0,0,2,17/02/2020,NULL,0
26208,228,Spain,ES,,,40.46,-3.75,2,0,0,2,18/02/2020,NULL,0
26209,228,Spain,ES,,,40.46,-3.75,2,0,0,2,19/02/2020,NULL,0
26210,228,Spain,ES,,,40.46,-3.75,2,0,0,2,20/02/2020,NULL,0
26211,228,Spain,ES,,,40.46,-3.75,2,0,0,2,21/02/2020,NULL,0
26212,228,Spain,ES,,,40.46,-3.75,2,0,0,2,22/02/2020,NULL,0
26213,228,Spain,ES,,,40.46,-3.75,2,0,0,2,23/02/2020,NULL,0
26214,228,Spain,ES,,,40.46,-3.75,2,0,0,2,24/02/2020,NULL,0
26215,228,Spain,ES,,,40.46,-3.75,6,4,0,2,25/02/2020,NULL,4
26216,228,Spain,ES,,,40.46,-3.75,13,11,0,2,26/02/2020,NULL,7
26217,228,Spain,ES,,,40.46,-3.75,15,13,0,2,27/02/2020,NULL,2
26218,228,Spain,ES,,,40.46,-3.75,32,30,0,2,28/02/2020,NULL,17
26219,228,Spain,ES,,,40.46,-3.75,45,43,0,2,29/02/2020,NULL,13
26220,228,Spain,ES,,,40.46,-3.75,84,82,0,2,01/03/2020,NULL,39
26221,228,Spain,ES,,,40.46,-3.75,120,118,0,2,02/03/2020,NULL,36
26222,228,Spain,ES,,,40.46,-3.75,165,162,1,2,03/03/2020,NULL,44
26223,228,Spain,ES,,,40.46,-3.75,222,218,2,2,04/03/2020,NULL,56
26224,228,Spain,ES,,,40.46,-3.75,259,254,3,2,05/03/2020,NULL,36
