UpdateId,CountryId,CountryName,CountryCode,Province,City,Latitude,Longitude,ConfirmedCases,ActiveCases,Deaths,Recovered,DateTime,CountriesCountryId,ChangeInActiveCases
23871,213,Sweden,SE,,,60.13,18.64,0,0,0,0,22/01/2020,NULL,0
23872,213,Sweden,SE,,,60.13,18.64,0,0,0,0,23/01/2020,NULL,0
23873,213,Sweden,SE,,,60.13,18.64,0,0,0,0,24/01/2020,NULL,0
23874,213,Sweden,SE,,,60.13,18.64,0,0,0,0,25/01/2020,NULL,0
23875,213,Sweden,SE,,,60.13,18.64,0,0,0,0,26/01/2020,NULL,0
23876,213,Sweden,SE,,,60.13,18.64,0,0,0,0,27/01/2020,NULL,0
23877,213,Sweden,SE,,,60.13,18.64,0,0,0,0,28/01/2020,NULL,0
23878,213,Sweden,SE,,,60.13,18.64,0,0,0,0,29/01/2020,NULL,0
23879,213,Sweden,SE,,,60.13,18.64,0,0,0,0,30/01/2020,NULL,0
23880,213,Sweden,SE,,,60.13,18.64,1,1,0,0,31/01/2020,NULL,1
23881,213,Sweden,SE,,,60.13,18.64,1,1,0,0,01/02/2020,NULL,0
23882,213,Sweden,SE,,,60.13,18.64,1,1,0,0,02/02/2020,NULL,0
23883,213,Sweden,SE,,,60.13,18.64,1,1,0,0,03/02/2020,NULL,0
23884,213,Sweden,SE,,,60.13,18.64,1,1,0,0,04/02/2020,NULL,0
23885,213,Sweden,SE,,,60.13,18.64,1,1,0,0,05/02/2020,NULL,0
23886,213,Sweden,SE,,,60.13,18.64,1,1,0,0,06/02/2020,NULL,0
23887,213,Sweden,SE,,,60.13,18.64,1,1,0,0,07/02/2020,NULL,0
23888,213,Sweden,SE,,,60.13,18.64,1,1,0,0,08/02/2020,NULL,0
23889,213,Sweden,SE,,,60.13,18.64,1,1,0,0,09/02/2020,NULL,0
23890,213,Sweden,SE,,,60.13,18.64,1,1,0,0,10/02/2020,NULL,0
23891,213,Sweden,SE,,,60.13,18.64,1,1,0,0,11/02/2020,NULL,0
23892,213,Sweden,SE,,,60.13,18.64,1,1,0,0,12/02/2020,NULL,0
23893,213,Sweden,SE,,,60.13,18.64,1,1,0,0,13/02/2020,NULL,0
23894,213,Sweden,SE,,,60.13,18.64,1,1,0,0,14/02/2020,NULL,0
23895,213,Sweden,SE,,,60.13,18.64,1,1,0,0,15/02/2020,NULL,0
23896,213,Sweden,SE,,,60.13,18.64,1,1,0,0,16/02/2020,NULL,0
23897,213,Sweden,SE,,,60.13,18.64,1,1,0,0,17/02/2020,NULL,0
23898,213,Sweden,SE,,,60.13,18.64,1,1,0,0,18/02/2020,NULL,0
23899,213,Sweden,SE,,,60.13,18.64,1,1,0,0,19/02/2020,NULL,0
23900,213,Sweden,SE,,,60.13,18.64,1,1,0,0,20/02/2020,NULL,0
23901,213,Sweden,SE,,,60.13,18.64,1,1,0,0,21/02/2020,NULL,0
23902,213,Sweden,SE,,,60.13,18.64,1,1,0,0,22/02/2020,NULL,0
23903,213,Sweden,SE,,,60.13,18.64,1,1,0,0,23/02/2020,NULL,0
23904,213,Sweden,SE,,,60.13,18.64,1,1,0,0,24/02/2020,NULL,0
23905,213,Sweden,SE,,,60.13,18.64,1,1,0,0,25/02/2020,NULL,0
23906,213,Sweden,SE,,,60.13,18.64,2,2,0,0,26/02/2020,NULL,1
23907,213,Sweden,SE,,,60.13,18.64,7,7,0,0,27/02/2020,NULL,5
23908,213,Sweden,SE,,,60.13,18.64,7,7,0,0,28/02/2020,NULL,0
23909,213,Sweden,SE,,,60.13,18.64,12,12,0,0,29/02/2020,NULL,5
23910,213,Sweden,SE,,,60.13,18.64,14,14,0,0,01/03/2020,NULL,2
23911,213,Sweden,SE,,,60.13,18.64,15,15,0,0,02/03/2020,NULL,1
23912,213,Sweden,SE,,,60.13,18.64,21,21,0,0,03/03/2020,NULL,6
23913,213,Sweden,SE,,,60.13,18.64,35,35,0,0,04/03/2020,NULL,14
23914,213,Sweden,SE,,,60.13,18.64,94,94,0,0,05/03/2020,NULL,59
23915,213,Sweden,SE,,,60.13,18.64,101,101,0,0,06/03/2020,NULL,7
23916,213,Sweden,SE,,,60.13,18.64,161,161,0,0,07/03/2020,NULL,60
23917,213,Sweden,SE,,,60.13,18.64,203,203,0,0,08/03/2020,NULL,42
23918,213,Sweden,SE,,,60.13,18.64,248,247,0,1,09/03/2020,NULL,44
23919,213,Sweden,SE,,,60.13,18.64,355,354,0,1,10/03/2020,NULL,107
23920,213,Sweden,SE,,,60.13,18.64,500,498,1,1,11/03/2020,NULL,144
23921,213,Sweden,SE,,,60.13,18.64,599,597,1,1,12/03/2020,NULL,99
23922,213,Sweden,SE,,,60.13,18.64,814,812,1,1,13/03/2020,NULL,215
23923,213,Sweden,SE,,,60.13,18.64,961,958,2,1,14/03/2020,NULL,146
23924,213,Sweden,SE,,,60.13,18.64,1022,1018,3,1,15/03/2020,NULL,60
23925,213,Sweden,SE,,,60.13,18.64,1103,1096,6,1,16/03/2020,NULL,78
23926,213,Sweden,SE,,,60.13,18.64,1190,1182,7,1,17/03/2020,NULL,86
23927,213,Sweden,SE,,,60.13,18.64,1279,1268,10,1,18/03/2020,NULL,86
23928,213,Sweden,SE,,,60.13,18.64,1439,1412,11,16,19/03/2020,NULL,144
23929,213,Sweden,SE,,,60.13,18.64,1639,1607,16,16,20/03/2020,NULL,195
23930,213,Sweden,SE,,,60.13,18.64,1763,1727,20,16,21/03/2020,NULL,120
23931,213,Sweden,SE,,,60.13,18.64,1934,1897,21,16,22/03/2020,NULL,170
23932,213,Sweden,SE,,,60.13,18.64,2046,2005,25,16,23/03/2020,NULL,108
23933,213,Sweden,SE,,,60.13,18.64,2286,2234,36,16,24/03/2020,NULL,229
23934,213,Sweden,SE,,,60.13,18.64,2526,2448,62,16,25/03/2020,NULL,214
23935,213,Sweden,SE,,,60.13,18.64,2840,2747,77,16,26/03/2020,NULL,299
